dataset,dim,suite,filter_kind,sweep,algo,backend,params,seed,status,path,n_items,n_queries,n_kept,n_queries_heldout,n_queries_oracle,n_targets_in_filter,pass_rate,bloom_fp_rate,k_max,build_s,index_mib,filter_mib,unstable,memory_reserved_mib,elapsed_s,env_code_version,env_commit,env_dirty,env_gpu,env_sm_mhz_load,env_clocks_drift,heldout_recall@100,heldout_ndcg@100,heldout_precision@100,heldout_mrr@100,heldout_recall@500,heldout_ndcg@500,heldout_precision@500,heldout_mrr@500,heldout_recall@1000,heldout_ndcg@1000,heldout_precision@1000,heldout_mrr@1000,heldout_n,oracle_recall@100,oracle_ndcg@100,oracle_precision@100,oracle_mrr@100,oracle_recall@500,oracle_ndcg@500,oracle_precision@500,oracle_mrr@500,oracle_recall@1000,oracle_ndcg@1000,oracle_precision@1000,oracle_mrr@1000,oracle_n,quality_jaccard_vs_first@100,quality_jaccard_vs_first@500,quality_jaccard_vs_first@1000,quality_score_max_abs_diff,quality_parity,perf_k,perf_bs,perf_mode,perf_cache_plans,perf_n,perf_median_ms,perf_mean_ms,perf_p95_ms,perf_p99_ms,perf_min_ms,perf_iqr_ms,perf_qps,perf_host_gap_ms,perf_outliers_std,perf_outliers_tukey,perf_load,perf_spread,perf_unstable,perf_peak_fwd_mib,perf_sm_mhz,perf_reason
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,1000,8,eager,,2954,0.6579360067844391,0.6404847018647695,0.7902623921632767,0.8500582307577129,0.5117440223693848,0.10207204520702362,12399.926258572576,0.0046804251834073884,11,49,closed_loop,0.054085561727933135,True,16.1171875,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,1000,8,graph,,5000,0.30908799171447754,0.30993201311826707,0.3161599934101105,0.32092800736427307,0.29625600576400757,0.005279988050460815,25501.41982091425,0.0037760100498795413,31,80,closed_loop,0.00041412470910029165,False,,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,100,16,eager,,3000,0.6658399999141693,0.6680064102808635,0.8229855924844741,0.8737676572799673,0.5280640125274658,0.01975204050540924,23817.050943988943,0.0037812110173205404,33,692,closed_loop,0.06839050789509281,True,31.787109375,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,100,16,graph,,4453,0.4516479969024658,0.4524443280608526,0.4602240025997162,0.4658688044548034,0.43142399191856384,0.006976008415222168,35078.83711146896,0.003671134066848103,30,63,closed_loop,0.00028340870663219923,False,,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,500,16,eager,,3098,0.6575519740581512,0.6503209195997424,0.8059503942728041,0.832460485100746,0.5366399884223938,0.0244399756193161,24462.70312909293,0.0037359896292122885,9,863,closed_loop,0.021802594232961006,False,31.8603515625,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,500,16,graph,,4316,0.4667840003967285,0.46752070442214955,0.47548800706863403,0.4816160038113595,0.44729599356651306,0.006815999746322632,33954.74292784558,0.003694761234600552,30,69,closed_loop,0.0015081717857591604,False,,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,1000,16,eager,,3007,0.6531839966773987,0.6436921742059957,0.8041952073574066,0.8464313411712647,0.540287971496582,0.05099201202392578,24712.942950505407,0.0037418457747279144,25,199,closed_loop,0.010141068086287229,False,31.95166015625,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 24}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3010.0,265.2715468797833,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9948,0.9946523719072342,0.009947999777644873,0.9946,0.9948,0.9946523719072342,0.001989600094500929,0.9946,0.9948,0.9946523719072342,0.0009948000472504645,0.9946,10000,0.8840440681514331,0.9137339796416462,0.8838919817900286,1.0,0.8473003913503141,0.8754179412836209,0.847098040526989,1.0,0.8196660781116225,0.8483297630652785,0.8194221389507294,1.0,10000,,,,,reference,1000,16,graph,,3669,0.4671359956264496,0.46780575875626434,0.47581439614295956,0.4813759922981262,0.4461440145969391,0.006815999746322632,33933.468202894604,0.003705137339972686,24,57,closed_loop,0.0004110502400621443,False,,1410.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 32}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3030.0,253.84660835098475,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9963000000000001,0.9961523719072343,0.009962999777309597,0.9961000000000001,0.9963000000000001,0.9961523719072343,0.0019926000946434218,0.9961000000000001,0.9963000000000001,0.9961523719072343,0.0009963000473217109,0.9961000000000001,10000,0.9033505390909501,0.9284625286050141,0.9031979813193903,1.0,0.875638283524476,0.898963507087715,0.8754314417299582,1.0,0.8538110041644424,0.8775397272568196,0.853555640703661,1.0,10000,,,,,reference,100,1,eager,,3027,0.6539199948310852,0.6606763875598675,0.7041471838951109,0.8263718330860135,0.6344000101089478,0.011631995439529419,1476.4463603908505,0.016625563142409483,124,188,closed_loop,0.0009298186110837915,False,2.7373046875,1215.0,
arxiv,128,filter,clause,c0_maincat,silvertorch,triton,"{""n_probe"": 32}",0,ok,triton,2988996,10000,10000,10000,10000,10000,0.1363381747248909,,1000,2.177301545161754,786.1181716918945,0.0,True,3030.0,253.84660835098475,0fe440d4bc9013097737e225af59b71ccec94a6d,afc2ab9,False,NVIDIA A100-SXM4-80GB,,True,0.9963000000000001,0.9961523719072343,0.009962999777309597,0.9961000000000001,0.9963000000000001,0.9961523719072343,0.0019926000946434218,0.9961000000000001,0.9963000000000001,0.9961523719072343,0.0009963000473217109,0.9961000000000001,10000,0.9033505390909501,0.9284625286050141,0.9031979813193903,1.0,0.875638283524476,0.898963507087715,0.8754314417299582,1.0,0.8538110041644424,0.8775397272568196,0.853555640703661,1.0,10000,,,,,reference,100,1,graph,,5000,0.19287999719381332,0.1969388288885355,0.22480160519480705,0.24794143557548534,0.15638400614261627,0.009727999567985535,4982.227915499108,0.0037745902806520515,49,570,closed_loop,0.006968616886313746,False,,1410.0,
