utc,clocks.sm,clocks.mem,temperature.gpu,power.draw,utilization.gpu
2026-09-06T17:31:44Z,1140,1593,29,73.05,1
2026-09-06T17:32:15Z,1140,1593,29,73.05,0
2026-09-06T17:32:46Z,1410,1593,32,105.84,44
2026-09-06T17:33:16Z,1410,1593,40,215.18,100
2026-09-06T17:33:46Z,1410,1593,41,221.96,100
2026-09-06T17:34:16Z,1410,1593,43,218.91,100
2026-09-06T17:34:46Z,1140,1593,32,73.65,1
2026-09-06T17:35:17Z,1140,1593,30,73.93,1
2026-09-06T17:35:48Z,1140,1593,30,73.32,0
2026-09-06T17:36:19Z,1140,1593,29,73.05,1
2026-09-06T17:36:50Z,1140,1593,29,73.05,1
2026-09-06T17:37:21Z,1140,1593,29,73.05,0
2026-09-06T17:37:52Z,1140,1593,29,73.65,1
2026-09-06T17:38:23Z,1140,1593,29,73.05,0
2026-09-06T17:38:53Z,1410,1593,33,131.85,100
2026-09-06T17:39:23Z,1410,1593,40,205.91,100
2026-09-06T17:39:53Z,1410,1593,43,226.62,100
2026-09-06T17:40:23Z,1140,1593,34,108.01,1
2026-09-06T17:40:54Z,1140,1593,31,73.05,17
2026-09-06T17:41:25Z,1140,1593,30,73.32,17
2026-09-06T17:41:56Z,1140,1593,30,78.88,0
2026-09-06T17:42:27Z,1140,1593,29,73.05,1
2026-09-06T17:42:58Z,1140,1593,29,73.65,10
2026-09-06T17:43:29Z,1140,1593,29,73.05,17
2026-09-06T17:44:00Z,1140,1593,29,73.05,17
2026-09-06T17:44:30Z,1140,1593,29,73.32,0
2026-09-06T17:45:01Z,1410,1593,30,92.83,0
2026-09-06T17:45:35Z,1140,1593,29,73.05,0
2026-09-06T17:46:06Z,1410,1593,40,238.07,100
2026-09-06T17:46:36Z,1410,1593,41,205.30,100
2026-09-06T17:47:06Z,1410,1593,43,294.02,100
2026-09-06T17:47:37Z,1410,1593,42,208.68,100
2026-09-06T17:48:07Z,1410,1593,46,294.96,100
2026-09-06T17:48:37Z,1410,1593,42,208.68,100
2026-09-06T17:49:07Z,1410,1593,43,207.47,1
2026-09-06T17:49:37Z,1410,1593,42,213.35,100
2026-09-06T17:50:07Z,1410,1593,42,233.74,100
2026-09-06T17:50:37Z,1410,1593,46,297.74,100
2026-09-06T17:51:07Z,1410,1593,43,239.62,100
2026-09-06T17:51:37Z,1410,1593,43,208.35,100
2026-09-06T17:52:07Z,1410,1593,42,203.42,100
2026-09-06T17:52:37Z,1410,1593,48,307.34,100
2026-09-06T17:53:07Z,1410,1593,43,207.13,100
2026-09-06T17:53:37Z,1410,1593,42,216.74,100
2026-09-06T17:54:08Z,1410,1593,37,94.67,0
2026-09-06T17:54:38Z,1140,1593,36,75.21,22
2026-09-06T17:55:09Z,1140,1593,32,75.21,17
2026-09-06T17:55:40Z,1140,1593,31,73.65,0
2026-09-06T17:56:11Z,1140,1593,30,73.32,0
2026-09-06T17:56:42Z,1140,1593,30,73.32,21
2026-09-06T17:57:13Z,1140,1593,30,73.32,23
2026-09-06T17:57:44Z,1140,1593,30,108.62,13
2026-09-06T17:58:15Z,1140,1593,30,73.32,0
2026-09-06T17:58:46Z,1140,1593,30,73.32,23
2026-09-06T17:59:17Z,1140,1593,30,73.05,0
2026-09-06T17:59:48Z,1410,1593,39,248.89,100
2026-09-06T18:00:18Z,1410,1593,41,245.78,100
2026-09-06T18:00:48Z,1410,1593,41,216.41,100
2026-09-06T18:01:18Z,1410,1593,42,210.52,100
2026-09-06T18:01:48Z,1410,1593,43,206.85,100
2026-09-06T18:02:18Z,1410,1593,42,196.02,100
2026-09-06T18:02:48Z,1410,1593,44,214.85,100
2026-09-06T18:03:18Z,1410,1593,42,211.80,100
2026-09-06T18:03:48Z,1410,1593,45,295.57,100
2026-09-06T18:04:18Z,1410,1593,42,179.93,100
2026-09-06T18:04:49Z,1410,1593,42,200.35,100
2026-09-06T18:05:19Z,1410,1593,42,225.68,100
2026-09-06T18:05:49Z,1410,1593,42,197.86,100
2026-09-06T18:06:19Z,1410,1593,49,309.78,100
2026-09-06T18:06:49Z,1410,1593,43,195.09,100
2026-09-06T18:07:19Z,1410,1593,42,186.14,100
2026-09-06T18:07:49Z,1410,1593,42,217.68,100
2026-09-06T18:08:19Z,1410,1593,46,300.84,100
2026-09-06T18:08:49Z,1410,1593,44,184.59,100
2026-09-06T18:09:19Z,1410,1593,43,234.71,100
2026-09-06T18:09:49Z,1410,1593,42,201.25,100
2026-09-06T18:10:19Z,1410,1593,43,214.58,100
2026-09-06T18:10:49Z,1410,1593,48,303.95,100
