cell                                                                   check                 verdict  detail
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     quality recall@1000   PASS     v2 0.999627 golden 0.999627 |diff| 1.1e-16 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     quality ndcg@1000     PASS     v2 0.999696 golden 0.999696 |diff| 1.0e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=100 bs=1    FAIL     v2 graph 0.8017 ms golden 0.8218 ms ratio 0.976 [sm 1410/1155 MHz → normalised ratio 1.191]; v2 eager 1.4825 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=100 bs=8    FAIL     v2 graph 4.6869 ms golden 4.6465 ms ratio 1.009 [sm 1410/1155 MHz → normalised ratio 1.231]; v2 eager 9.2444 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=100 bs=16   FAIL     v2 graph 9.2215 ms golden 9.1240 ms ratio 1.011 [sm 1410/1155 MHz → normalised ratio 1.234]; v2 eager 18.2631 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=500 bs=1    FAIL     v2 graph 0.8150 ms golden 0.8390 ms ratio 0.971 [sm 1410/1155 MHz → normalised ratio 1.186]; v2 eager 1.5008 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=500 bs=8    FAIL     v2 graph 4.6981 ms golden 4.6600 ms ratio 1.008 [sm 1410/1155 MHz → normalised ratio 1.231]; v2 eager 9.2586 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=500 bs=16   FAIL     v2 graph 9.2332 ms golden 9.1331 ms ratio 1.011 [sm 1410/1155 MHz → normalised ratio 1.234]; v2 eager 18.2739 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=1000 bs=1   FAIL     v2 graph 0.8165 ms golden 0.8399 ms ratio 0.972 [sm 1410/1155 MHz → normalised ratio 1.187]; v2 eager 1.5070 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=1000 bs=8   FAIL     v2 graph 4.6996 ms golden 4.6598 ms ratio 1.009 [sm 1410/1155 MHz → normalised ratio 1.231]; v2 eager 9.2642 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     latency k=1000 bs=16  FAIL     v2 graph 9.2246 ms golden 9.1424 ms ratio 1.009 [sm 1410/1155 MHz → normalised ratio 1.232]; v2 eager 18.2824 ms
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     graph                 PASS     9/9 graph entries measured (cudagraph_skips == 0)
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     parity                FAIL     vs_triton: jaccard@100 0.998743, score_max_abs_diff 9.766e-03 (exact algo: must be 1.0)
goodreads-d128-clause/c0_genre-linr_v2-torch-s0-{}                     stable                FAIL     unstable: clocks_drift
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    quality recall@100    PASS     v2 0.876944 golden 0.876944 |diff| 0.0e+00 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    quality ndcg@100      PASS     v2 0.909096 golden 0.909096 |diff| 1.6e-09 (tol 1e-06)
goodreads-d128-clause/c0_genre-linr_v3-triton-s0-{}                    quality recall@500    PASS     v2 0.724322 golden 0.724322 |diff| 0.0e+00 (tol 1e-06)
